                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.6536,                 2.1771,                 1.3209,                 1.1507,                0.37589,                0.25376,                0.21389,                 0.1113,                0.27007,                0.25366,                0.19086,                0.07828,                  2.023,                 2.5754,                 2.2314,                 1.3644,              0.0013699,              0.0013699,              0.0013699
                     56,                 1.6754,                 2.1952,                 1.3919,                 1.1646,                0.34646,                0.29383,                0.23875,                0.10847,                0.28904,                0.24122,                0.18468,                0.07291,                 2.0531,                 2.5762,                 2.4605,                  1.331,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.6237,                 2.1003,                 1.3433,                 1.1346,                 0.3917,                0.25872,                0.22989,                0.11816,                0.36353,                0.23005,                0.19808,                0.08637,                 2.1374,                 2.6733,                 2.0785,                 1.4271,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.6247,                  2.138,                 1.3022,                 1.1326,                0.31243,                0.26801,                0.21714,                0.11088,                0.24302,                0.26989,                0.19959,                0.07629,                 2.2574,                 2.7293,                 2.3043,                 1.5068,              0.0013534,              0.0013534,              0.0013534
                     59,                 1.5996,                 2.1558,                 1.2819,                 1.1285,                 0.2848,                0.28726,                0.21727,                0.10799,                0.25128,                0.23477,                0.18392,                0.07825,                 2.0988,                 2.6241,                 2.2522,                 1.4416,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.6016,                 2.1355,                 1.2875,                 1.1295,                0.33049,                0.27798,                0.24384,                0.12514,                0.29324,                0.26654,                0.19962,                0.08643,                  2.022,                 2.6174,                 2.3694,                 1.3733,              0.0013424,              0.0013424,              0.0013424
                     61,                 1.5808,                  2.086,                 1.2621,                   1.12,                0.37259,                0.27472,                 0.2421,                0.11135,                0.23649,                0.27807,                0.18812,                0.08023,                 2.1081,                 2.7374,                 2.0857,                 1.4039,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.5787,                 2.1073,                 1.2631,                 1.1198,                0.43585,                0.29262,                0.24863,                0.12266,                0.36299,                0.26009,                0.21469,                0.08306,                 2.0158,                 2.6426,                 2.1955,                 1.3547,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.6013,                 2.1147,                  1.281,                 1.1162,                0.28183,                0.28281,                0.19756,                0.09624,                0.22603,                0.25376,                 0.1763,                0.07903,                 2.1281,                 2.7493,                 2.5276,                 1.5404,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.5523,                 2.0827,                 1.2337,                 1.1183,                0.33726,                0.29359,                0.22149,                0.11279,                0.25738,                0.24811,                0.19038,                0.07779,                 2.1494,                 2.6475,                 2.1214,                 1.4757,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.5589,                 2.0782,                 1.2538,                 1.1237,                0.34898,                0.25943,                0.22206,                0.11402,                0.30446,                 0.2435,                0.19351,                0.08037,                 2.0516,                 2.6581,                 2.0766,                  1.489,              0.0013149,              0.0013149,              0.0013149
                     66,                 1.5347,                 2.0596,                 1.2028,                 1.0948,                0.30555,                0.30537,                0.22918,                0.11702,                0.30707,                 0.1999,                0.19155,                0.08666,                 2.0358,                 2.7328,                 2.1913,                 1.4299,              0.0013094,              0.0013094,              0.0013094
                     67,                 1.5341,                 2.0527,                 1.1763,                 1.0873,                0.41425,                 0.2648,                0.24005,                 0.1234,                0.38924,                0.20909,                0.20584,                0.07861,                 2.0543,                 2.6799,                 2.0087,                 1.4436,              0.0013039,              0.0013039,              0.0013039
                     68,                 1.5391,                 2.0492,                 1.1721,                 1.0976,                0.35609,                 0.2823,                0.23416,                0.11147,                0.26111,                0.24929,                 0.1965,                0.08554,                  2.135,                  2.657,                 2.0518,                 1.4921,              0.0012984,              0.0012984,              0.0012984
                     69,                 1.5592,                 2.1142,                 1.2164,                 1.1072,                0.33716,                0.27926,                0.22881,                0.11627,                0.21762,                0.24109,                0.19226,                0.08801,                 2.1388,                 2.9567,                 2.0918,                 1.4929,              0.0012929,              0.0012929,              0.0012929
                     70,                 1.5431,                 2.0574,                 1.1949,                 1.0946,                 0.3399,                0.26813,                0.22651,                0.12025,                0.29307,                0.20549,                0.19106,                0.08269,                 1.9852,                 2.7836,                 2.0903,                 1.4002,              0.0012874,              0.0012874,              0.0012874
                     71,                 1.5459,                 2.0692,                 1.2083,                 1.1024,                0.29388,                0.28267,                0.22662,                 0.1113,                0.25608,                  0.238,                0.20068,                0.07713,                 1.9986,                 2.8135,                 2.5352,                 1.2819,              0.0012819,              0.0012819,              0.0012819
                     72,                  1.547,                 2.1004,                 1.1906,                 1.0956,                0.34919,                0.28093,                0.25171,                0.11979,                 0.3028,                0.21417,                0.20401,                0.08373,                 2.0178,                 2.9356,                 1.9929,                 1.3731,              0.0012764,              0.0012764,              0.0012764
                     73,                 1.5036,                 2.0221,                 1.1597,                 1.0902,                0.42371,                0.24569,                 0.2399,                0.12968,                0.42475,                0.20909,                 0.2118,                0.09438,                 1.9097,                 2.7847,                 2.4757,                 1.2833,              0.0012709,              0.0012709,              0.0012709
                     74,                 1.4914,                 1.9885,                  1.132,                 1.0862,                0.34415,                0.27932,                0.23718,                  0.121,                0.30176,                0.21901,                0.20494,                 0.0851,                 1.9868,                 2.6428,                 2.5247,                  1.344,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.5493,                 2.0682,                 1.1801,                 1.0959,                 0.3126,                0.28633,                0.22564,                0.11841,                0.34854,                0.20276,                0.20339,                0.08818,                  2.071,                 2.7104,                 2.4836,                 1.3365,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.4885,                 2.0071,                 1.1258,                 1.0774,                0.33336,                0.29347,                0.23077,                0.12147,                 0.2589,                0.24006,                0.18878,                0.08032,                 1.9973,                 2.8757,                 2.7076,                 1.3181,              0.0012544,              0.0012544,              0.0012544
                     77,                 1.4746,                 1.9488,                  1.089,                 1.0685,                0.40967,                0.26055,                 0.2375,                0.12521,                0.33507,                  0.204,                0.18374,                0.07994,                 1.8897,                 2.8209,                  2.796,                 1.2343,              0.0012489,              0.0012489,              0.0012489
                     78,                 1.4739,                 1.9823,                 1.0983,                 1.0666,                0.29944,                0.28093,                0.22153,                0.11972,                0.26847,                0.21045,                0.17933,                0.07033,                 2.0158,                 2.7354,                 2.5293,                 1.3011,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.5078,                 2.0433,                 1.1261,                 1.0794,                0.35379,                0.29682,                 0.2318,                0.11514,                0.30173,                0.23595,                0.18951,                0.06999,                 2.1141,                 2.8093,                  1.896,                  1.481,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.4782,                 1.9891,                  1.091,                 1.0681,                0.40375,                0.25525,                0.22567,                0.12086,                0.34655,                0.21232,                0.19785,                0.08008,                 2.0851,                 2.7909,                 2.0435,                 1.4257,              0.0012324,              0.0012324,              0.0012324
                     81,                 1.4763,                 1.9929,                 1.1115,                 1.0739,                 0.2994,                0.28714,                0.21381,                0.10808,                0.27796,                0.24567,                0.19077,                0.07929,                 2.1384,                 2.7067,                 2.2443,                 1.4839,              0.0012269,              0.0012269,              0.0012269
                     82,                  1.471,                 1.9752,                 1.1161,                  1.073,                0.27017,                0.26989,                0.19396,                0.09486,                0.22516,                0.22223,                0.16614,                0.06791,                 2.1485,                 3.0049,                 2.1319,                 1.4374,              0.0012214,              0.0012214,              0.0012214
                     83,                 1.4455,                 1.9435,                 1.0893,                 1.0643,                0.35628,                0.25835,                0.22622,                0.11384,                 0.3578,                0.19332,                0.19512,                0.07767,                 2.1622,                 2.8535,                 2.1562,                  1.499,              0.0012159,              0.0012159,              0.0012159
                     84,                 1.4716,                 1.9715,                 1.0965,                 1.0643,                0.34574,                 0.2844,                0.22453,                0.10797,                0.29555,                0.22869,                0.18002,                0.07439,                 2.0472,                 2.7466,                 2.3071,                 1.3385,              0.0012104,              0.0012104,              0.0012104
                     85,                  1.422,                 1.9554,                 1.0645,                 1.0496,                0.34113,                0.27157,                0.20853,                0.10719,                0.29177,                0.23452,                0.18548,                0.07601,                 2.1082,                 2.7724,                 2.2844,                 1.4925,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.4563,                 2.0031,                 1.0742,                 1.0591,                0.41501,                0.27436,                0.23691,                  0.122,                0.36459,                0.21082,                0.20235,                0.08409,                 2.1059,                  2.819,                 1.8958,                 1.4581,              0.0011994,              0.0011994,              0.0011994
                     87,                 1.4295,                 1.9026,                 1.0575,                 1.0411,                0.31431,                0.31915,                0.23398,                0.12192,                0.30871,                0.21578,                0.20214,                0.08483,                 2.1034,                 2.7788,                 1.9901,                 1.4771,              0.0011939,              0.0011939,              0.0011939
                     88,                 1.3954,                  1.898,                 1.0151,                 1.0419,                0.33365,                0.28456,                0.23467,                0.11714,                0.25684,                0.21913,                0.18596,                0.07941,                 2.0668,                 3.0257,                 2.0364,                 1.3962,              0.0011884,              0.0011884,              0.0011884
                     89,                 1.4229,                 1.8867,                 1.0488,                 1.0468,                0.34215,                0.27241,                0.23148,                0.11612,                0.21478,                0.23167,                0.17853,                0.07804,                 2.1509,                  2.802,                 2.1274,                  1.494,              0.0011829,              0.0011829,              0.0011829
                     90,                 1.4377,                 1.9127,                 1.0542,                 1.0413,                0.36661,                0.29545,                0.24668,                0.12514,                0.29276,                0.23501,                0.19894,                0.08212,                  2.129,                 2.8482,                 2.0995,                 1.4294,              0.0011774,              0.0011774,              0.0011774
