                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8643,                 2.4489,                 1.6262,                 1.2128,                0.40789,                0.24388,                0.24769,                 0.1131,                0.32459,                0.20784,                 0.2055,                0.06794,                 2.0569,                 2.6734,                 2.2354,                 1.3625,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.8928,                 2.4741,                 1.7014,                 1.2206,                0.35593,                0.28455,                0.25056,                0.11835,                0.24028,                0.22337,                0.17907,                0.06596,                 2.1018,                 2.7243,                 2.1629,                 1.3719,                0.00148,                0.00148,                0.00148
                     36,                 1.8918,                 2.4652,                 1.6626,                 1.2215,                0.30699,                0.25735,                0.19763,                0.08908,                0.21765,                0.22236,                 0.1658,                0.07042,                 2.1546,                 2.6199,                  2.075,                 1.4238,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.8288,                 2.3873,                 1.5921,                 1.1924,                0.32014,                0.26964,                0.23136,                 0.1143,                 0.2798,                0.22993,                0.18412,                0.08053,                 2.0909,                 2.5228,                 2.0338,                 1.3789,               0.001469,               0.001469,               0.001469
                     38,                 1.8286,                 2.3906,                 1.5368,                 1.1829,                0.35934,                0.27125,                0.23416,                0.10994,                 0.2256,                0.24618,                0.18154,                0.06768,                 1.9911,                 2.7303,                 1.9149,                 1.3286,              0.0014635,              0.0014635,              0.0014635
                     39,                  1.852,                 2.4398,                 1.5949,                 1.2029,                0.38531,                0.26456,                0.23307,                0.11675,                0.29886,                 0.1865,                0.16853,                0.06395,                 2.0752,                 2.6558,                  2.175,                 1.3631,               0.001458,               0.001458,               0.001458
                     40,                   1.86,                 2.4071,                 1.6091,                 1.1888,                0.35935,                 0.2617,                0.22158,                0.12189,                0.29481,                0.20437,                0.18086,                0.07479,                 1.9723,                 2.6198,                  2.224,                 1.2514,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.8184,                 2.3612,                 1.5551,                 1.1958,                0.30505,                 0.2344,                0.18088,                0.09782,                0.31077,                0.17869,                0.15776,                0.06412,                 1.9755,                 2.6936,                 2.2166,                 1.2894,               0.001447,               0.001447,               0.001447
                     42,                 1.8452,                 2.4048,                 1.6529,                 1.1923,                0.33474,                0.23489,                 0.2278,                0.11283,                0.40259,                0.16143,                0.18835,                0.06844,                 2.0267,                 2.5718,                 2.1073,                 1.3158,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.8561,                 2.4164,                 1.5455,                 1.1871,                 0.3795,                0.27162,                0.23295,                0.11871,                0.33177,                0.21119,                 0.2007,                0.08209,                 2.0728,                 2.5108,                 1.9214,                 1.3694,               0.001436,               0.001436,               0.001436
