                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.7099,                 1.4424,                 1.4359,                0.45538,                0.22646,                0.23524,                0.10793,                 2.2021,                 2.3651,                 1.9099,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.6815,                 1.4418,                 1.4361,                0.34931,                0.29831,                0.23778,                0.10542,                 2.1983,                 2.3242,                  1.991,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.6953,                 1.4482,                 1.4399,                0.37133,                0.29657,                0.24563,                0.11665,                  2.109,                 2.0331,                 1.9438,              0.0013149,              0.0013149,              0.0013149
                     66,                 1.6834,                  1.386,                 1.4229,                  0.362,                0.26505,                0.24793,                 0.1218,                 2.1836,                 2.4228,                 2.0113,              0.0013094,              0.0013094,              0.0013094
                     67,                 1.6543,                 1.3448,                 1.3949,                0.33262,                0.27274,                0.23497,                0.11863,                 2.0577,                 2.4453,                 1.7893,              0.0013039,              0.0013039,              0.0013039
                     68,                 1.6523,                  1.368,                 1.3995,                0.38339,                0.28242,                0.27813,                0.12475,                 2.1382,                 2.2131,                 1.9036,              0.0012984,              0.0012984,              0.0012984
                     69,                 1.6514,                 1.3575,                  1.407,                0.34471,                0.30637,                0.24826,                0.12438,                 2.1531,                 2.1384,                 1.9796,              0.0012929,              0.0012929,              0.0012929
                     70,                 1.6348,                 1.3462,                  1.389,                0.38664,                0.25278,                0.24634,                0.11838,                 2.1851,                 2.2415,                 1.9945,              0.0012874,              0.0012874,              0.0012874
                     71,                 1.6555,                 1.3456,                 1.4056,                0.39519,                0.29198,                 0.2618,                0.11976,                 2.1324,                 2.1685,                 1.9006,              0.0012819,              0.0012819,              0.0012819
                     72,                 1.6361,                 1.3388,                 1.3828,                0.36171,                0.28187,                0.24584,                0.11301,                 2.2138,                 2.1513,                 2.0074,              0.0012764,              0.0012764,              0.0012764
                     73,                 1.6165,                 1.3159,                 1.3865,                0.35375,                0.28875,                0.22973,                0.10856,                  2.205,                 2.2828,                 2.0819,              0.0012709,              0.0012709,              0.0012709
                     74,                  1.591,                 1.2754,                 1.3711,                0.35384,                0.26885,                0.23183,                0.11286,                 2.2253,                  2.562,                 2.0066,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.6162,                 1.3137,                 1.3796,                0.34977,                0.32155,                0.27111,                0.12055,                 2.1753,                 2.4458,                 2.0232,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.5819,                  1.263,                 1.3507,                0.38468,                0.28658,                0.25342,                 0.1181,                 2.1451,                 2.2725,                 1.9814,              0.0012544,              0.0012544,              0.0012544
                     77,                 1.5696,                  1.235,                 1.3472,                0.35063,                0.29322,                0.24492,                0.11923,                 2.1835,                 2.4823,                 1.8991,              0.0012489,              0.0012489,              0.0012489
                     78,                 1.5891,                 1.2703,                 1.3676,                0.46549,                0.25698,                0.26019,                0.12376,                 2.2125,                 2.2851,                 2.0407,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.5945,                 1.2619,                 1.3679,                  0.375,                0.28602,                0.23422,                0.11634,                 2.1946,                 2.2807,                 1.9017,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.5871,                 1.2461,                  1.363,                0.35644,                0.29024,                0.23709,                0.11482,                 2.1832,                 2.4543,                 1.9232,              0.0012324,              0.0012324,              0.0012324
                     81,                 1.5576,                 1.2207,                 1.3408,                0.33874,                0.28056,                0.23847,                0.11526,                 2.1728,                 2.2829,                 2.0814,              0.0012269,              0.0012269,              0.0012269
                     82,                 1.5562,                 1.2114,                 1.3436,                0.29263,                0.31258,                0.23724,                 0.1181,                 2.1771,                 2.0605,                 1.9911,              0.0012214,              0.0012214,              0.0012214
                     83,                  1.552,                 1.2004,                 1.3333,                0.35151,                0.25582,                0.23293,                0.11811,                 2.2157,                 2.1278,                 2.1063,              0.0012159,              0.0012159,              0.0012159
                     84,                 1.5707,                 1.2195,                 1.3417,                0.42404,                0.26492,                 0.2541,                0.12349,                 2.1809,                 2.2771,                  2.034,              0.0012104,              0.0012104,              0.0012104
                     85,                 1.5479,                 1.1876,                 1.3235,                0.34813,                0.28851,                0.23983,                0.11986,                 2.1655,                 2.4678,                 2.0742,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.5626,                 1.2241,                 1.3402,                0.36525,                0.25686,                0.24188,                0.12367,                 2.2005,                 2.2327,                 2.0629,              0.0011994,              0.0011994,              0.0011994
                     87,                 1.5261,                 1.2042,                 1.3139,                0.30126,                0.30302,                0.24128,                0.12309,                 2.2219,                 2.3582,                 2.0777,              0.0011939,              0.0011939,              0.0011939
                     88,                 1.5259,                 1.1762,                 1.3189,                0.37351,                0.26791,                0.25137,                0.11527,                 2.1481,                 2.3917,                 2.0294,              0.0011884,              0.0011884,              0.0011884
                     89,                 1.5324,                 1.1727,                 1.3268,                0.37284,                0.26319,                0.23274,                0.11277,                 2.2032,                 2.3091,                 2.0548,              0.0011829,              0.0011829,              0.0011829
                     90,                 1.5286,                 1.1777,                 1.3106,                0.38289,                0.27344,                0.25183,                0.12003,                 2.1495,                 2.3247,                 2.0248,              0.0011774,              0.0011774,              0.0011774
                     91,                 1.5129,                 1.1585,                  1.297,                0.41712,                0.26009,                 0.2402,                0.11319,                 2.1427,                 2.2338,                 2.0537,              0.0011719,              0.0011719,              0.0011719
                     92,                 1.4998,                 1.1313,                 1.3032,                0.33901,                 0.2715,                0.24497,                0.12056,                 2.1841,                  2.187,                 2.0952,              0.0011664,              0.0011664,              0.0011664
                     93,                 1.5099,                  1.165,                 1.3162,                0.35612,                0.29992,                0.26144,                0.12558,                  2.148,                 2.3037,                 1.9868,              0.0011609,              0.0011609,              0.0011609
                     94,                 1.5008,                 1.1441,                 1.3124,                 0.3546,                 0.2998,                0.24658,                0.12236,                 2.2017,                 2.5055,                 2.0942,              0.0011554,              0.0011554,              0.0011554
                     95,                 1.5171,                 1.1375,                 1.2916,                0.38209,                 0.2942,                 0.2392,                0.11621,                 2.1508,                 2.2527,                 2.0657,              0.0011499,              0.0011499,              0.0011499
                     96,                  1.489,                 1.1083,                 1.2861,                0.37841,                0.24396,                0.21358,                0.10138,                 2.2167,                 2.2151,                 2.1014,              0.0011444,              0.0011444,              0.0011444
                     97,                 1.5019,                 1.1248,                  1.308,                0.32502,                0.28403,                0.21794,                0.10742,                 2.1877,                 2.3226,                  2.054,              0.0011389,              0.0011389,              0.0011389
                     98,                 1.4729,                 1.0953,                  1.294,                0.40557,                0.25512,                0.24687,                0.12669,                 2.1132,                 2.1219,                 1.9827,              0.0011334,              0.0011334,              0.0011334
                     99,                 1.4858,                 1.0943,                 1.2908,                0.39322,                0.24532,                0.24025,                0.11995,                 2.1927,                 2.5004,                 2.1033,              0.0011279,              0.0011279,              0.0011279
                    100,                 1.4863,                 1.1216,                 1.2854,                 0.3468,                0.26007,                0.22301,                0.11394,                 2.0871,                 2.1094,                 2.0318,              0.0011224,              0.0011224,              0.0011224
                    101,                 1.4894,                 1.1088,                 1.2903,                0.36334,                0.28391,                0.23519,                0.11271,                 2.1799,                 2.2374,                 2.1248,              0.0011169,              0.0011169,              0.0011169
                    102,                 1.4289,                 1.0676,                 1.2507,                0.32412,                0.29682,                 0.2414,                0.11661,                 2.2083,                 2.1404,                 2.1024,              0.0011114,              0.0011114,              0.0011114
                    103,                 1.4809,                 1.1062,                 1.2918,                0.42536,                0.23142,                0.23483,                0.11068,                 2.2224,                 2.0797,                  2.125,              0.0011059,              0.0011059,              0.0011059
                    104,                  1.454,                 1.0764,                 1.2699,                0.35349,                0.29024,                0.23093,                0.11192,                 2.1699,                 2.2107,                 2.0723,              0.0011004,              0.0011004,              0.0011004
                    105,                 1.4435,                 1.0709,                 1.2747,                0.34708,                0.27609,                 0.2522,                0.12618,                 2.1325,                 2.3002,                 2.0194,              0.0010949,              0.0010949,              0.0010949
                    106,                 1.4256,                 1.0411,                 1.2704,                0.41633,                0.23279,                0.24675,                0.12504,                 2.0951,                 2.2978,                 1.9628,              0.0010894,              0.0010894,              0.0010894
                    107,                 1.4455,                 1.0637,                  1.271,                0.31906,                 0.3108,                0.25378,                0.12999,                 2.1116,                  2.072,                 2.0454,              0.0010839,              0.0010839,              0.0010839
                    108,                 1.4416,                 1.0666,                 1.2542,                0.35154,                0.28391,                0.25415,                0.12626,                 2.1222,                   2.45,                 2.0549,              0.0010784,              0.0010784,              0.0010784
                    109,                 1.4387,                 1.0516,                 1.2604,                0.38707,                0.26468,                0.23933,                0.11918,                 2.1417,                 2.2335,                 2.0294,              0.0010729,              0.0010729,              0.0010729
                    110,                  1.395,                 1.0192,                 1.2439,                0.36552,                 0.2854,                0.24191,                0.12182,                 2.1381,                 2.2783,                 2.1019,              0.0010674,              0.0010674,              0.0010674
                    111,                 1.3882,                 1.0025,                 1.2375,                0.36577,                0.26468,                0.23394,                0.11224,                 2.2301,                 2.4456,                 2.1728,              0.0010619,              0.0010619,              0.0010619
                    112,                 1.4042,                 1.0176,                 1.2476,                0.38027,                0.26732,                0.25647,                0.12901,                 2.1436,                   2.33,                 2.1391,              0.0010564,              0.0010564,              0.0010564
                    113,                  1.385,                0.98531,                 1.2312,                0.37399,                0.22969,                0.22972,                0.11441,                 2.1961,                  2.381,                 2.1442,              0.0010509,              0.0010509,              0.0010509
                    114,                 1.4159,                  1.025,                 1.2334,                 0.3474,                0.28069,                0.25375,                 0.1167,                 2.2413,                 2.4275,                 2.0926,              0.0010454,              0.0010454,              0.0010454
                    115,                  1.406,                 1.0237,                 1.2374,                0.34376,                0.30314,                0.25695,                0.12768,                 2.1774,                 2.2114,                 2.0727,              0.0010399,              0.0010399,              0.0010399
                    116,                 1.4073,                 1.0176,                 1.2366,                0.31958,                0.29647,                0.23985,                 0.1208,                 2.2136,                 2.3938,                 2.0714,              0.0010344,              0.0010344,              0.0010344
