                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.4652,                0.98354,                 1.2555,                0.30913,                0.24867,                0.21073,                0.10666,                 2.2251,                 2.5501,                 1.9189,              0.0012489,              0.0012489,              0.0012489
                     78,                 1.4348,                0.94129,                  1.234,                 0.2987,                0.28887,                 0.1991,                0.09539,                 2.3601,                 2.5436,                 1.9698,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.4562,                0.96288,                 1.2527,                0.30495,                0.28242,                0.19905,                0.09913,                 2.3627,                  2.432,                  1.965,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.4804,                0.97673,                 1.2621,                0.39105,                 0.2282,                0.20406,                0.09648,                 2.3056,                 2.4309,                 1.9944,              0.0012324,              0.0012324,              0.0012324
                     81,                 1.4389,                0.95234,                 1.2474,                0.41689,                  0.255,                0.22958,                0.11351,                 2.3255,                 2.5376,                 1.9601,              0.0012269,              0.0012269,              0.0012269
                     82,                 1.4389,                0.95932,                 1.2481,                0.29301,                0.25202,                0.19554,                0.10085,                 2.3491,                 2.5193,                 1.9745,              0.0012214,              0.0012214,              0.0012214
                     83,                 1.4263,                0.93392,                 1.2376,                0.25758,                0.29563,                0.20446,                0.10224,                 2.2998,                 2.5808,                 1.9562,              0.0012159,              0.0012159,              0.0012159
                     84,                 1.4517,                0.95768,                 1.2471,                0.33856,                0.24234,                 0.2198,                0.10297,                 2.3155,                 2.5349,                 1.9454,              0.0012104,              0.0012104,              0.0012104
                     85,                 1.4167,                0.92749,                 1.2269,                0.35273,                0.21529,                0.20018,                0.10301,                 2.2298,                  2.569,                 1.9112,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.4226,                0.93756,                 1.2319,                0.34533,                0.27436,                 0.2276,                0.11193,                 2.2505,                 2.4581,                 1.8901,              0.0011994,              0.0011994,              0.0011994
                     87,                 1.4366,                0.95315,                 1.2437,                0.39988,                0.26498,                0.21993,                0.10694,                  2.289,                 2.3897,                 1.8852,              0.0011939,              0.0011939,              0.0011939
                     88,                 1.4191,                0.92624,                 1.2287,                0.34262,                0.31407,                0.23074,                0.10665,                 2.3052,                 2.3768,                 1.9143,              0.0011884,              0.0011884,              0.0011884
                     89,                 1.4154,                0.91358,                 1.2265,                0.26151,                0.29657,                0.19282,                 0.0957,                 2.3261,                 2.5084,                 1.9804,              0.0011829,              0.0011829,              0.0011829
                     90,                 1.4097,                0.91374,                 1.2218,                0.36101,                0.24557,                0.19669,                0.09174,                 2.3042,                 2.5983,                 1.9635,              0.0011774,              0.0011774,              0.0011774
                     91,                 1.4108,                0.91229,                 1.2222,                0.35663,                0.24569,                0.21814,                0.10206,                 2.3371,                 2.4979,                 1.9859,              0.0011719,              0.0011719,              0.0011719
                     92,                  1.413,                0.91142,                  1.221,                 0.3931,                0.24396,                0.21606,                0.10072,                 2.2886,                 2.5865,                 1.8964,              0.0011664,              0.0011664,              0.0011664
                     93,                 1.3858,                0.88097,                 1.2007,                0.27463,                0.27282,                0.19482,                0.09542,                 2.2948,                 2.6509,                 1.9237,              0.0011609,              0.0011609,              0.0011609
                     94,                 1.4012,                0.90932,                 1.2154,                0.32486,                0.28838,                0.22311,                 0.0956,                 2.2811,                   2.56,                 1.9552,              0.0011554,              0.0011554,              0.0011554
                     95,                 1.3853,                0.90436,                 1.2031,                0.39533,                0.22658,                0.20859,                0.09853,                  2.296,                 2.6075,                 1.8909,              0.0011499,              0.0011499,              0.0011499
                     96,                 1.3964,                0.90611,                 1.2061,                0.27366,                0.30774,                0.20632,                 0.1036,                 2.3392,                 2.6201,                 1.9639,              0.0011444,              0.0011444,              0.0011444
                     97,                 1.3831,                0.89934,                 1.2051,                0.37739,                0.23452,                0.19637,                0.09891,                 2.2406,                 2.5701,                 1.8741,              0.0011389,              0.0011389,              0.0011389
                     98,                 1.3846,                0.88799,                 1.1978,                0.39178,                0.25686,                 0.2042,                0.09985,                 2.3443,                 2.4158,                 1.9188,              0.0011334,              0.0011334,              0.0011334
                     99,                 1.3808,                0.89545,                 1.2022,                0.33349,                0.25065,                 0.2082,                0.09439,                 2.3657,                 2.4368,                 1.9635,              0.0011279,              0.0011279,              0.0011279
                    100,                 1.3587,                0.87568,                 1.1909,                0.25367,                0.31084,                0.19215,                0.08718,                 2.3054,                 2.5003,                 1.9156,              0.0011224,              0.0011224,              0.0011224
                    101,                 1.3675,                0.87296,                 1.1924,                0.34623,                0.27238,                 0.2284,                0.10552,                 2.3237,                 2.4568,                 1.8813,              0.0011169,              0.0011169,              0.0011169
                    102,                 1.3322,                0.84955,                 1.1708,                  0.284,                0.31096,                0.21736,                0.10668,                 2.3524,                 2.4821,                 1.9859,              0.0011114,              0.0011114,              0.0011114
                    103,                 1.3508,                0.86038,                 1.1807,                0.39738,                0.24259,                0.22728,                0.11046,                 2.2728,                  2.523,                 1.8996,              0.0011059,              0.0011059,              0.0011059
                    104,                 1.3475,                0.85409,                   1.18,                0.30695,                0.26396,                0.19979,                0.09696,                 2.3533,                 2.6392,                 1.9319,              0.0011004,              0.0011004,              0.0011004
                    105,                 1.3275,                0.84672,                 1.1683,                0.26824,                0.32257,                 0.2284,                0.10725,                 2.3141,                 2.5363,                 1.9021,              0.0010949,              0.0010949,              0.0010949
                    106,                 1.3495,                0.85829,                  1.181,                0.36457,                 0.2854,                0.20702,                0.09724,                 2.4095,                  2.455,                 1.9693,              0.0010894,              0.0010894,              0.0010894
                    107,                 1.3439,                0.85948,                 1.1835,                0.35123,                0.25698,                0.20118,                0.09477,                 2.4103,                 2.6023,                 1.9461,              0.0010839,              0.0010839,              0.0010839
                    108,                 1.3458,                0.86417,                 1.1781,                0.37348,                0.23142,                0.20818,                0.10314,                 2.2715,                 2.5864,                 1.8926,              0.0010784,              0.0010784,              0.0010784
                    109,                 1.3531,                0.85469,                 1.1777,                0.25203,                0.27771,                0.18117,                0.08026,                 2.3576,                 2.6037,                 1.9566,              0.0010729,              0.0010729,              0.0010729
                    110,                 1.3355,                 0.8384,                 1.1663,                 0.2557,                0.28069,                0.17573,                0.08393,                  2.269,                 2.7597,                 1.9424,              0.0010674,              0.0010674,              0.0010674
                    111,                 1.3223,                0.83776,                 1.1702,                0.26415,                0.29657,                0.19817,                0.09154,                 2.2963,                 2.5955,                  1.897,              0.0010619,              0.0010619,              0.0010619
                    112,                 1.3045,                0.82677,                 1.1535,                 0.2838,                0.30501,                 0.2231,                0.09743,                 2.3084,                 2.6444,                 1.9072,              0.0010564,              0.0010564,              0.0010564
                    113,                 1.3056,                0.81451,                  1.157,                0.28844,                0.30637,                0.21873,                0.11386,                 2.2692,                 2.5488,                 1.9018,              0.0010509,              0.0010509,              0.0010509
                    114,                 1.3061,                0.80732,                 1.1547,                0.37099,                0.26021,                0.21192,                0.10109,                 2.2635,                 2.4841,                 1.8503,              0.0010454,              0.0010454,              0.0010454
                    115,                  1.288,                0.80296,                 1.1439,                0.26887,                0.31754,                 0.1884,                0.08302,                 2.2976,                 2.7097,                 1.8521,              0.0010399,              0.0010399,              0.0010399
                    116,                 1.2962,                0.81135,                 1.1504,                0.28276,                0.31419,                0.20291,                0.08557,                 2.3171,                 2.6878,                 1.9016,              0.0010344,              0.0010344,              0.0010344
                    117,                 1.2723,                0.79016,                 1.1408,                0.30401,                0.26456,                0.19614,                0.09417,                 2.2635,                 2.5697,                 1.9077,              0.0010289,              0.0010289,              0.0010289
                    118,                 1.2896,                0.80715,                 1.1502,                0.32565,                 0.2138,                0.18358,                0.09464,                 2.3677,                  2.749,                 1.9904,              0.0010234,              0.0010234,              0.0010234
                    119,                  1.281,                0.80153,                 1.1445,                0.33748,                0.25481,                0.21097,                0.10273,                 2.2874,                 2.5142,                 1.9434,              0.0010179,              0.0010179,              0.0010179
                    120,                 1.2786,                0.80137,                 1.1361,                 0.3439,                0.24743,                0.19702,                 0.0923,                 2.3706,                 2.5493,                 1.9922,              0.0010124,              0.0010124,              0.0010124
                    121,                 1.2825,                 0.7935,                 1.1433,                0.30845,                0.28592,                0.20353,                0.10322,                 2.3221,                 2.6593,                 1.9738,              0.0010069,              0.0010069,              0.0010069
                    122,                  1.288,                 0.7956,                 1.1468,                0.34022,                0.23646,                0.21667,                0.10245,                 2.3594,                 2.6413,                 1.9971,              0.0010014,              0.0010014,              0.0010014
                    123,                 1.3202,                0.82134,                 1.1533,                0.25101,                 0.2823,                0.21491,                0.10085,                 2.2977,                 2.6775,                  1.888,             0.00099587,             0.00099587,             0.00099587
                    124,                 1.2926,                0.81348,                 1.1526,                0.24463,                0.34459,                0.21617,                0.09982,                 2.3035,                 2.6559,                 1.8873,             0.00099036,             0.00099036,             0.00099036
                    125,                 1.2678,                 0.7916,                 1.1351,                0.29228,                  0.238,                0.18413,                0.09493,                 2.3279,                 2.6074,                 1.9414,             0.00098486,             0.00098486,             0.00098486
                    126,                  1.287,                0.80608,                  1.148,                0.36528,                0.22055,                0.19984,                0.09877,                  2.286,                 2.7172,                 1.9044,             0.00097936,             0.00097936,             0.00097936
                    127,                 1.2834,                0.80501,                 1.1438,                0.32388,                 0.2411,                0.21083,                0.10548,                 2.2769,                 2.6395,                 1.8772,             0.00097386,             0.00097386,             0.00097386
                    128,                 1.2625,                0.79654,                 1.1306,                 0.2917,                0.24892,                0.20329,                0.10232,                  2.287,                 2.7067,                  1.864,             0.00096836,             0.00096836,             0.00096836
                    129,                 1.2644,                0.78299,                 1.1337,                0.32883,                0.21667,                0.19101,                0.10064,                 2.3494,                 2.7426,                 1.9861,             0.00096286,             0.00096286,             0.00096286
                    130,                 1.2896,                0.80191,                 1.1417,                0.38722,                0.18824,                0.18093,                0.09887,                 2.3135,                 2.6692,                 1.8851,             0.00095736,             0.00095736,             0.00095736
                    131,                 1.2603,                0.77463,                 1.1186,                0.27893,                0.27138,                0.18575,                0.09553,                 2.3353,                   2.75,                 1.8995,             0.00095186,             0.00095186,             0.00095186
                    132,                 1.2538,                0.77457,                 1.1145,                0.25859,                0.27436,                0.17163,                0.08532,                 2.3636,                 2.8055,                 1.9417,             0.00094636,             0.00094636,             0.00094636
                    133,                 1.2495,                0.77978,                 1.1172,                0.24446,                0.29061,                0.17786,                0.08734,                 2.3659,                 2.7348,                 1.9275,             0.00094085,             0.00094085,             0.00094085
                    134,                 1.2552,                0.77587,                 1.1139,                0.32795,                0.21045,                0.18266,                0.09154,                 2.3449,                 2.7184,                 1.8825,             0.00093535,             0.00093535,             0.00093535
                    135,                 1.2557,                0.78479,                 1.1305,                0.30557,                0.24894,                0.19031,                0.09735,                 2.3117,                 2.6451,                 1.8642,             0.00092985,             0.00092985,             0.00092985
                    136,                 1.2653,                0.77266,                 1.1177,                 0.3309,                0.20418,                0.19127,                0.09911,                 2.3051,                 2.7058,                 1.8446,             0.00092435,             0.00092435,             0.00092435
                    137,                 1.2211,                0.75519,                 1.0979,                0.28537,                0.25872,                0.19021,                0.09588,                  2.302,                 2.6698,                 1.8745,             0.00091885,             0.00091885,             0.00091885
                    138,                 1.2215,                0.75978,                 1.1074,                0.37022,                0.20735,                0.18052,                0.09712,                 2.3344,                 2.7482,                 1.8983,             0.00091335,             0.00091335,             0.00091335
                    139,                 1.2688,                0.78484,                 1.1092,                0.36542,                0.20574,                0.18539,                0.09829,                  2.379,                 2.6809,                 1.9402,             0.00090785,             0.00090785,             0.00090785
                    140,                 1.2567,                0.77881,                 1.1113,                0.31337,                 0.2009,                 0.1754,                0.08967,                 2.3505,                 2.8018,                 1.9355,             0.00090235,             0.00090235,             0.00090235
                    141,                 1.2433,                0.77064,                 1.1118,                0.32729,                0.21219,                0.17922,                0.08773,                 2.3849,                 2.7469,                 1.8987,             0.00089685,             0.00089685,             0.00089685
                    142,                 1.2356,                0.76953,                 1.1068,                 0.2814,                0.24557,                 0.1887,                0.09028,                 2.3291,                 2.6784,                 1.8885,             0.00089134,             0.00089134,             0.00089134
                    143,                 1.2569,                0.77655,                 1.1086,                0.33826,                0.23616,                0.18826,                0.09523,                 2.3357,                 2.8769,                 1.8966,             0.00088584,             0.00088584,             0.00088584
                    144,                 1.2239,                0.74949,                 1.0969,                0.32973,                0.22795,                 0.1976,                0.10443,                 2.3453,                 2.6783,                 1.9029,             0.00088034,             0.00088034,             0.00088034
                    145,                 1.2158,                0.74177,                 1.0906,                 0.2878,                0.26105,                0.18793,                0.09625,                 2.3421,                 2.7379,                 1.8697,             0.00087484,             0.00087484,             0.00087484
                    146,                 1.2011,                0.73739,                 1.0882,                0.25084,                0.24098,                0.16309,                0.08545,                 2.3887,                 2.8087,                 1.9518,             0.00086934,             0.00086934,             0.00086934
